|description|coarse_grained_pos|fine_grained_pos
1361| The sheepdogs are running in the pasture .|DET NOUN AUX VERB ADP DET NOUN PUNCT|DT NNS VBP VBG IN DT NN .
1362| A dog with a frisbie in his mouth is running in a snowy field .|DET NOUN ADP DET NOUN ADP PRON NOUN AUX VERB ADP DET ADJ NOUN PUNCT|DT NN IN DT NN IN PRP$ NN VBZ VBG IN DT JJ NN .
1363| A German shepherd dog is running in the snow .|DET ADJ ADJ NOUN AUX VERB ADP DET NOUN PUNCT|DT JJ JJ NN VBZ VBG IN DT NN .
1364| A man in a button down shirt is plugging cables into an electronic device .|DET NOUN ADP DET NOUN ADP NOUN AUX VERB NOUN ADP DET ADJ NOUN PUNCT|DT NN IN DT NN IN NN VBZ VBG NNS IN DT JJ NN .
1365| The white crane is searching for food in a pond .|DET ADJ NOUN AUX VERB ADP NOUN ADP DET NOUN PUNCT|DT JJ NN VBZ VBG IN NN IN DT NN .
1366| A woman in a black dress standing on the deck of a boat .|DET NOUN ADP DET ADJ NOUN VERB ADP DET NOUN ADP DET NOUN PUNCT|DT NN IN DT JJ NN VBG IN DT NN IN DT NN .
1367| A little girl wearing green pants holding something while standing next to a mini hay bale .|DET ADJ NOUN VERB ADJ NOUN VERB PRON SCONJ VERB ADV ADP DET ADJ NOUN NOUN PUNCT|DT JJ NN VBG JJ NNS VBG NN IN VBG RB IN DT JJ NN NN .
1368| A man in checkered shorts stacks wooden crates .|DET NOUN ADP VERB NOUN VERB ADJ NOUN PUNCT|DT NN IN VBN NNS VBZ JJ NNS .
1369| A boy being pulled on a shovel .|DET NOUN AUX VERB ADP DET NOUN PUNCT|DT NN VBG VBN IN DT NN .
1370| A group of men and boys look upwards at something .|DET NOUN ADP NOUN CCONJ NOUN VERB ADV ADP PRON PUNCT|DT NN IN NNS CC NNS VBP RB IN NN .
1371| A man wearing blue jeans and sneakers walks under a green awning that extends from a store .|DET NOUN VERB ADJ NOUN CCONJ NOUN VERB ADP DET ADJ NOUN PRON VERB ADP DET NOUN PUNCT|DT NN VBG JJ NNS CC NNS VBZ IN DT JJ NN WDT VBZ IN DT NN .
1372| Children making crafts at a craft table with one adult .|NOUN VERB NOUN ADP DET NOUN NOUN ADP NUM NOUN PUNCT|NNS VBG NNS IN DT NN NN IN CD NN .
1373| A dog and a cat are facing each other while a person in a dress watches .|DET NOUN CCONJ DET NOUN AUX VERB DET ADJ SCONJ DET NOUN ADP DET NOUN VERB PUNCT|DT NN CC DT NN VBP VBG DT JJ IN DT NN IN DT NN VBZ .
1374| A man holding a microphone speaking to a group of people outside .|DET NOUN VERB DET NOUN VERB ADP DET NOUN ADP NOUN ADV PUNCT|DT NN VBG DT NN VBG IN DT NN IN NNS RB .
1375| Two people leaning on a rock wall looking at the scenery .|NUM NOUN VERB ADP DET NOUN NOUN VERB ADP DET NOUN PUNCT|CD NNS VBG IN DT NN NN VBG IN DT NN .
1376| Two little girls are standing on a small ledge with their faces to a brick wall .|NUM ADJ NOUN AUX VERB ADP DET ADJ NOUN ADP PRON NOUN ADP DET NOUN NOUN PUNCT|CD JJ NNS VBP VBG IN DT JJ NN IN PRP$ NNS IN DT NN NN .
1377| Two men cleaning a science laboratory .|NUM NOUN VERB DET NOUN NOUN PUNCT|CD NNS VBG DT NN NN .
1378| A black man operates an orange crane .|DET ADJ NOUN VERB DET ADJ NOUN PUNCT|DT JJ NN VBZ DT JJ NN .
1379| Dog staring at something with a toy in his mouth .|PROPN VERB ADP PRON ADP DET NOUN ADP PRON NOUN PUNCT|NNP VBG IN NN IN DT NN IN PRP$ NN .
1380| A man leans against a green column in the subway .|DET NOUN VERB ADP DET ADJ NOUN ADP DET NOUN PUNCT|DT NN VBZ IN DT JJ NN IN DT NN .
1381| Two young women in the midst of playing softball .|NUM ADJ NOUN ADP DET NOUN ADP VERB NOUN PUNCT|CD JJ NNS IN DT NN IN VBG NN .
1382| A man is bent over working on a machine .|DET NOUN AUX ADJ ADP VERB ADP DET NOUN PUNCT|DT NN VBZ JJ RP VBG IN DT NN .
1383| A basketball player makes a slam drunk during a basketball game .|DET NOUN NOUN VERB DET NOUN ADJ ADP DET NOUN NOUN PUNCT|DT NN NN VBZ DT NN JJ IN DT NN NN .
1384| A wet dog carrying a stick in its mouth is walking out of the lake .|DET ADJ NOUN VERB DET NOUN ADP PRON NOUN AUX VERB ADP ADP DET NOUN PUNCT|DT JJ NN VBG DT NN IN PRP$ NN VBZ VBG IN IN DT NN .
1385| Man laying on a partially built house .|NOUN VERB ADP DET ADV VERB NOUN PUNCT|NN VBG IN DT RB VBN NN .
1386| A group of kids and adults admire colorful print artwork in a museum setting .|DET NOUN ADP NOUN CCONJ NOUN VERB ADJ NOUN NOUN ADP DET NOUN NOUN PUNCT|DT NN IN NNS CC NNS VBP JJ NN NN IN DT NN NN .
1387| A person wearing some sort of scarf on their head while sewing .|DET NOUN VERB DET NOUN ADP NOUN ADP PRON NOUN SCONJ NOUN PUNCT|DT NN VBG DT NN IN NN IN PRP$ NN IN NN .
1388| A person in winter gear is riding a bike near an intersection .|DET NOUN ADP NOUN NOUN AUX VERB DET NOUN ADP DET NOUN PUNCT|DT NN IN NN NN VBZ VBG DT NN IN DT NN .
1389| The outfielder dives to catch the popup at center field .|DET NOUN VERB PART VERB DET NOUN ADP ADJ NOUN PUNCT|DT NN VBZ TO VB DT NN IN JJ NN .
1390| A woman in a long yellow dress holds a yellow umbrella .|DET NOUN ADP DET ADJ ADJ NOUN VERB DET ADJ NOUN PUNCT|DT NN IN DT JJ JJ NN VBZ DT JJ NN .
1391| a group of people hiking up the side of a hill|DET NOUN ADP NOUN VERB ADP DET NOUN ADP DET NOUN|DT NN IN NNS VBG RP DT NN IN DT NN
1392| A woman in a red shirt sitting in the grass feeding rabbits .|DET NOUN ADP DET ADJ NOUN VERB ADP DET NOUN NOUN NOUN PUNCT|DT NN IN DT JJ NN VBG IN DT NN NN NNS .
1393| Small children in a third world country sitting together .|ADJ NOUN ADP DET ADJ NOUN NOUN VERB ADV PUNCT|JJ NNS IN DT JJ NN NN VBG RB .
1394| a woman with a ponytail climbing a rock wall|DET NOUN ADP DET NOUN VERB DET NOUN NOUN|DT NN IN DT NN VBG DT NN NN
1395| a small boy holding pieces of a map while volunteers watch .|DET ADJ NOUN VERB NOUN ADP DET NOUN SCONJ NOUN VERB PUNCT|DT JJ NN VBG NNS IN DT NN IN NNS VBP .
1396| Asian girl children in a dance performance .|ADJ NOUN NOUN ADP DET NOUN NOUN PUNCT|JJ NN NNS IN DT NN NN .
1397| two woman playing around and smiling .|NUM NOUN VERB ADV CCONJ VERB PUNCT|CD NN VBG RB CC VBG .
1398| A worker in a yellow suit and red hat is working high above the city .|DET NOUN ADP DET ADJ NOUN CCONJ ADJ PROPN AUX VERB ADV ADP DET NOUN PUNCT|DT NN IN DT JJ NN CC JJ NNP VBZ VBG RB IN DT NN .
1399| A man , wearing a striped shirt , is throwing a blue ball at a carnival game .|DET NOUN PUNCT VERB DET ADJ NOUN PUNCT AUX VERB DET ADJ NOUN ADP DET NOUN NOUN PUNCT|DT NN , VBG DT JJ NN , VBZ VBG DT JJ NN IN DT NN NN .
1400| A woman in jeans with a sponge in her handstanding in a small kitchen near the range .|DET NOUN ADP NOUN ADP DET NOUN ADP PRON NOUN ADP DET ADJ NOUN ADP DET NOUN PUNCT|DT NN IN NNS IN DT NN IN PRP$ NN IN DT JJ NN IN DT NN .
1401| Two friends get their picture taken in front of a large pier .|NUM NOUN VERB PRON NOUN VERB ADP NOUN ADP DET ADJ NOUN PUNCT|CD NNS VBP PRP$ NN VBN IN NN IN DT JJ NN .
1402| Man with brown coat and sunglasses wears a blue wig and ball cap .|NOUN ADP ADJ NOUN CCONJ NOUN VERB DET ADJ NOUN CCONJ NOUN PROPN PUNCT|NN IN JJ NN CC NNS VBZ DT JJ NN CC NN NNP .
1403| Three men are wearing native clothing and playing instruments .|NUM NOUN AUX VERB ADJ NOUN CCONJ VERB NOUN PUNCT|CD NNS VBP VBG JJ NN CC VBG NNS .
1404|" Young people walk on the street outside of an apartment building called """" Love Story """" ."|ADJ NOUN VERB ADP DET NOUN ADV ADP DET NOUN NOUN VERB PUNCT PUNCT PROPN PROPN PUNCT PUNCT PUNCT|JJ NNS VBP IN DT NN RB IN DT NN NN VBN `` `` NNP NNP '' '' .
1405| A man leaping into the air with a mountain vista behind him .|DET NOUN VERB ADP DET NOUN ADP DET NOUN NOUN ADP PRON PUNCT|DT NN VBG IN DT NN IN DT NN NN IN PRP .
1406| A brown and white dog runs on brownish grass .|DET ADJ CCONJ ADJ NOUN VERB ADP ADJ NOUN PUNCT|DT JJ CC JJ NN VBZ IN JJ NN .
1407| A man walking on the street with a baseball cap and black long-sleeve shirt .|DET NOUN VERB ADP DET NOUN ADP DET NOUN NOUN CCONJ ADJ ADJ NOUN NOUN PUNCT|DT NN VBG IN DT NN IN DT NN NN CC JJ JJ NN NN .
1408| People ride two camels at the beach .|NOUN VERB NUM NOUN ADP DET NOUN PUNCT|NNS VBP CD NNS IN DT NN .
1409| Some young boys are on stage pointing to the sky .|DET ADJ NOUN AUX ADP NOUN VERB ADP DET NOUN PUNCT|DT JJ NNS VBP IN NN VBG IN DT NN .
1410| Two individuals move about a field as an airplane flies in the background .|NUM NOUN VERB ADP DET NOUN ADP DET NOUN NOUN ADP DET NOUN PUNCT|CD NNS VBP IN DT NN IN DT NN NNS IN DT NN .
1411| A woman selling produce to another older woman at a produce market on a sunny day .|DET NOUN VERB VERB ADP DET ADJ NOUN ADP DET NOUN NOUN ADP DET ADJ NOUN PUNCT|DT NN VBG VBP IN DT JJR NN IN DT NN NN IN DT JJ NN .
1412| People are at a graduation .|NOUN AUX ADP DET NOUN PUNCT|NNS VBP IN DT NN .
1413| A man wearing black sweeping brown tile floors outside of a tile shop .|DET NOUN VERB ADJ ADJ ADJ NOUN NOUN ADP ADP DET NOUN NOUN PUNCT|DT NN VBG JJ JJ JJ NN NNS IN IN DT NN NN .
1414| People standing around a dimly lit bar socializing .|NOUN VERB ADP DET ADV VERB NOUN NOUN PUNCT|NNS VBG IN DT RB VBN NN NN .
1415| A man is outside selling various toys .|DET NOUN AUX ADP VERB ADJ NOUN PUNCT|DT NN VBZ IN VBG JJ NNS .
1416| Four girls and a lady learning how to do some crafts .|NUM NOUN CCONJ DET NOUN VERB SCONJ PART VERB DET NOUN PUNCT|CD NNS CC DT NN VBG WRB TO VB DT NNS .
1417| A fire hydrant that has been painted to look like it has a face .|DET NOUN NOUN PRON AUX AUX VERB PART VERB SCONJ PRON VERB DET NOUN PUNCT|DT NN NN WDT VBZ VBN VBN TO VB IN PRP VBZ DT NN .
1418| A group of people sit and walk on a set of stairs .|DET NOUN ADP NOUN VERB CCONJ VERB ADP DET NOUN ADP NOUN PUNCT|DT NN IN NNS VBP CC VB IN DT NN IN NNS .
1419| Two Japanese girls are wearing traditional dress .|NUM ADJ NOUN AUX VERB ADJ NOUN PUNCT|CD JJ NNS VBP VBG JJ NN .
1420| Three men dressed in white are painting a metal fence white .|NUM NOUN VERB ADP ADJ AUX VERB DET NOUN NOUN ADJ PUNCT|CD NNS VBN IN JJ VBP VBG DT NN NN JJ .
1421| two men are skiing and the one on the right is laughing|NUM NOUN AUX VERB CCONJ DET NOUN ADP DET NOUN AUX VERB|CD NNS VBP VBG CC DT NN IN DT NN VBZ VBG
1422| Two woman , on opposing basketball teams , face off on the court .|NUM NOUN PUNCT ADP VERB NOUN NOUN PUNCT VERB ADP ADP DET NOUN PUNCT|CD NN , IN VBG NN NNS , VB RP IN DT NN .
1423| A man points his finger to the path ahead as he sits on the dirt path .|DET NOUN VERB PRON NOUN ADP DET NOUN ADV SCONJ PRON VERB ADP DET NOUN NOUN PUNCT|DT NN VBZ PRP$ NN IN DT NN RB IN PRP VBZ IN DT NN NN .
1424| Two women stand outside a library .|NUM NOUN VERB ADP DET NOUN PUNCT|CD NNS VBP IN DT NN .
1425| Man and woman in black stand close together on the street .|NOUN CCONJ NOUN ADP ADJ NOUN ADV ADV ADP DET NOUN PUNCT|NN CC NN IN JJ NN RB RB IN DT NN .
1426| Several men are working on tiles together while sitting on the floor .|ADJ NOUN AUX VERB ADP NOUN ADV SCONJ VERB ADP DET NOUN PUNCT|JJ NNS VBP VBG IN NNS RB IN VBG IN DT NN .
1427| A man and women both in hats standing outside .|DET NOUN CCONJ NOUN PRON ADP NOUN VERB ADV PUNCT|DT NN CC NNS DT IN NNS VBG RB .
1428| a man working with plants trying to get his setup perfect .|DET NOUN VERB ADP NOUN VERB PART VERB PRON NOUN ADJ PUNCT|DT NN VBG IN NNS VBG TO VB PRP$ NN JJ .
1429| Someone is trying to detach the boy from a ladder .|PRON AUX VERB PART VERB DET NOUN ADP DET NOUN PUNCT|NN VBZ VBG TO VB DT NN IN DT NN .
1430| Man holding a beer throws a basketball where a little girl is playing .|NOUN VERB DET NOUN VERB DET NOUN SCONJ DET ADJ NOUN AUX VERB PUNCT|NN VBG DT NN VBZ DT NN WRB DT JJ NN VBZ VBG .
1431| A firefighter is shown trying to climb into some debris .|DET NOUN AUX VERB VERB PART VERB ADP DET NOUN PUNCT|DT NN VBZ VBN VBG TO VB IN DT NN .
1432| A man riding a horse in a rodeo show .|DET NOUN VERB DET NOUN ADP DET NOUN NOUN PUNCT|DT NN VBG DT NN IN DT NN NN .
1433| Asian women dressed in white and pink participate in some kind of festival .|ADJ NOUN VERB ADP ADJ CCONJ ADJ NOUN ADP DET NOUN ADP NOUN PUNCT|JJ NNS VBN IN JJ CC JJ NN IN DT NN IN NN .
1434| A football game is being played in a stadium .|DET NOUN NOUN AUX AUX VERB ADP DET NOUN PUNCT|DT NN NN VBZ VBG VBN IN DT NN .
1435| A dog is on the grass shaking himself dry .|DET NOUN AUX ADP DET NOUN VERB PRON ADJ PUNCT|DT NN VBZ IN DT NN VBG PRP JJ .
1436| Two people hiding their faces in a doorway .|NUM NOUN VERB PRON NOUN ADP DET NOUN PUNCT|CD NNS VBG PRP$ NNS IN DT NN .
1437| A little boy dressed in red pants is standing in the street .|DET ADJ NOUN VERB ADP ADJ NOUN AUX VERB ADP DET NOUN PUNCT|DT JJ NN VBN IN JJ NNS VBZ VBG IN DT NN .
1438| A couple walks through an Asian restaurant .|DET NOUN VERB ADP DET ADJ NOUN PUNCT|DT NN VBZ IN DT JJ NN .
1439| A man in a pink shirt is standing next to two younger men in a dark room .|DET NOUN ADP DET ADJ NOUN AUX VERB ADV ADP NUM ADJ NOUN ADP DET ADJ NOUN PUNCT|DT NN IN DT JJ NN VBZ VBG RB IN CD JJR NNS IN DT JJ NN .
1440| A man laying in the grass reading .|DET NOUN VERB ADP DET NOUN NOUN PUNCT|DT NN VBG IN DT NN NN .
1441| dog jumping for Frisbee|NOUN VERB ADP PROPN|NN VBG IN NNP
1442| a dog playing in a park|DET NOUN VERB ADP DET NOUN|DT NN VBG IN DT NN
1443| A man is demonstrating a his equipment for onlookers .|DET NOUN AUX VERB DET PRON NOUN ADP NOUN PUNCT|DT NN VBZ VBG DT PRP$ NN IN NNS .
1444| Child in green jacket dose handstand .|NOUN ADP ADJ NOUN NOUN NOUN PUNCT|NN IN JJ NN NN NN .
1445| A light tan cat laying down on a concrete ledge next to the bushes .|DET ADJ PROPN NOUN VERB ADP ADP DET ADJ NOUN ADV ADP DET NOUN PUNCT|DT JJ NNP NN VBG RP IN DT JJ NN RB IN DT NNS .
1446| A man with sunglasses is sitting on a deck .|DET NOUN ADP NOUN AUX VERB ADP DET NOUN PUNCT|DT NN IN NNS VBZ VBG IN DT NN .
1447| A man is holding a blue candle .|DET NOUN AUX VERB DET ADJ NOUN PUNCT|DT NN VBZ VBG DT JJ NN .
1448| A blond woman is showing emotion in the rain .|DET ADJ NOUN AUX VERB NOUN ADP DET NOUN PUNCT|DT JJ NN VBZ VBG NN IN DT NN .
1449| Two people standing under clear umbrellas and a little girl standing beside them .|NUM NOUN VERB ADP ADJ NOUN CCONJ DET ADJ NOUN VERB ADP PRON PUNCT|CD NNS VBG IN JJ NNS CC DT JJ NN VBG IN PRP .
1450| A girl in a yellow shirt plays in the water .|DET NOUN ADP DET ADJ NOUN VERB ADP DET NOUN PUNCT|DT NN IN DT JJ NN VBZ IN DT NN .
1451| A woman is singing into an old style microphone accompanied by a man .|DET NOUN AUX VERB ADP DET ADJ NOUN NOUN VERB ADP DET NOUN PUNCT|DT NN VBZ VBG IN DT JJ NN NN VBN IN DT NN .
1452| A group of women sit on the back of a flatbed truck .|DET NOUN ADP NOUN VERB ADP DET NOUN ADP DET ADJ NOUN PUNCT|DT NN IN NNS VBP IN DT NN IN DT JJ NN .
1453| The white and black dog plays in a blue pool with a ball .|DET ADJ CCONJ ADJ NOUN VERB ADP DET ADJ NOUN ADP DET NOUN PUNCT|DT JJ CC JJ NN VBZ IN DT JJ NN IN DT NN .
1454| A lady smiling while sitting down .|DET NOUN VERB SCONJ VERB ADP PUNCT|DT NN VBG IN VBG RP .
1455| A lady sits in the sand on the beach .|DET NOUN VERB ADP DET NOUN ADP DET NOUN PUNCT|DT NN VBZ IN DT NN IN DT NN .
1456| Men in shorts at dawn talking to each other .|NOUN ADP NOUN ADP NOUN VERB ADP DET ADJ PUNCT|NNS IN NNS IN NN VBG IN DT JJ .
1457| Young boys plays sports together .|ADJ NOUN VERB NOUN ADV PUNCT|JJ NNS VBZ NNS RB .
1458| Young boy running in the dirt with a small handheld shovel .|ADJ NOUN VERB ADP DET NOUN ADP DET ADJ ADJ NOUN PUNCT|JJ NN VBG IN DT NN IN DT JJ JJ NN .
1459| A person surfing in the ocean .|DET NOUN VERB ADP DET NOUN PUNCT|DT NN VBG IN DT NN .
1460| A girl attends a flower shop near a busy street .|DET NOUN VERB DET NOUN NOUN ADP DET ADJ NOUN PUNCT|DT NN VBZ DT NN NN IN DT JJ NN .
1461| Kayacker riding rough current downstream .|PROPN VERB ADJ ADJ NOUN PUNCT|NNP VBG JJ JJ NN .
1462| A small brown dog on a leash wearing a denim skirt .|DET ADJ ADJ NOUN ADP DET NOUN VERB DET ADJ NOUN PUNCT|DT JJ JJ NN IN DT NN VBG DT JJ NN .
1463| An elderly person wearing a red hat is holding a child wearing an adult sized jacket .|DET ADJ NOUN VERB DET ADJ NOUN AUX VERB DET NOUN VERB DET NOUN ADJ NOUN PUNCT|DT JJ NN VBG DT JJ NN VBZ VBG DT NN VBG DT NN JJ NN .
1464| Two young girls make faces from below a sculpture .|NUM ADJ NOUN VERB NOUN ADP ADP DET NOUN PUNCT|CD JJ NNS VBP NNS IN IN DT NN .
1465| Three men in hard hats , a couple , and a child look down upon something .|NUM NOUN ADP ADJ NOUN PUNCT DET NOUN PUNCT CCONJ DET NOUN VERB ADP SCONJ PRON PUNCT|CD NNS IN JJ NNS , DT NN , CC DT NN VB RP IN NN .
1466| An adult golden retriever and a puppy are playing tug-of-war with a brown toy .|DET NOUN ADJ NOUN CCONJ DET NOUN AUX VERB NOUN ADP NOUN ADP DET ADJ NOUN PUNCT|DT NN JJ NNS CC DT NN VBP VBG NN IN NN IN DT JJ NN .
1467| A Hispanic mom and child are selling hats|DET ADJ NOUN CCONJ NOUN AUX VERB NOUN|DT JJ NN CC NN VBP VBG NNS
1468| A woman in a blue star printed dress stands next to a grill with food on it .|DET NOUN ADP DET ADJ NOUN VERB NOUN VERB ADV ADP DET NOUN ADP NOUN ADP PRON PUNCT|DT NN IN DT JJ NN VBN NN VBZ RB IN DT NN IN NN IN PRP .
1469| Three children gathered around a rock while one crushes smaller rocks on top of it .|NUM NOUN VERB ADP DET NOUN SCONJ NUM VERB ADJ NOUN ADP NOUN ADP PRON PUNCT|CD NNS VBD IN DT NN IN CD VBZ JJR NNS IN NN IN PRP .
1470| A man is walking in front of the buildings on the road .|DET NOUN AUX VERB ADP NOUN ADP DET NOUN ADP DET NOUN PUNCT|DT NN VBZ VBG IN NN IN DT NNS IN DT NN .
1471| Two boys cannon balling into a lake near a red paddle boat .|NUM NOUN VERB VERB ADP DET NOUN ADP DET ADJ NOUN NOUN PUNCT|CD NNS VBP VBG IN DT NN IN DT JJ NN NN .
1472| In a mountain landscape , a person dressed in black leans against a fence and looks downward .|ADP DET NOUN NOUN PUNCT DET NOUN VERB ADP ADJ NOUN ADP DET NOUN CCONJ VERB ADJ PUNCT|IN DT NN NN , DT NN VBN IN JJ NNS IN DT NN CC VBZ JJ .
1473| Several people on a boat , some looking out at the water while some are sleeping .|ADJ NOUN ADP DET NOUN PUNCT PRON VERB ADP ADP DET NOUN SCONJ PRON AUX VERB PUNCT|JJ NNS IN DT NN , DT VBG RP IN DT NN IN DT VBP VBG .
1474| A young girl smiles in a field .|DET ADJ NOUN VERB ADP DET NOUN PUNCT|DT JJ NN VBZ IN DT NN .
1475| Two girls compete over the ball while playing lacrosse .|NUM NOUN VERB ADP DET NOUN SCONJ VERB PROPN PUNCT|CD NNS VBP IN DT NN IN VBG NNP .
1476| Two people are riding dirt bikes on a sunny day in a forested area .|NUM NOUN AUX VERB NOUN NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN PUNCT|CD NNS VBP VBG NN NNS IN DT JJ NN IN DT JJ NN .
1477| A man with an apron and hat cooking .|DET NOUN ADP DET NOUN CCONJ NOUN NOUN PUNCT|DT NN IN DT NN CC NN NN .
1478| A working man is standing by the cart looking at something .|DET VERB NOUN AUX VERB ADP DET NOUN VERB ADP PRON PUNCT|DT VBG NN VBZ VBG IN DT NN VBG IN NN .
1479| A group of women talk outside of a store .|DET NOUN ADP NOUN VERB ADV ADP DET NOUN PUNCT|DT NN IN NNS VBP RB IN DT NN .
1480| A construction worker in an orange vest lays down cobblestones .|DET NOUN NOUN ADP DET ADJ NOUN VERB ADP NOUN PUNCT|DT NN NN IN DT JJ NN VBZ RP NNS .
1481| Two kids are on a fair ride and are slipping to one side of the car .|NUM NOUN AUX ADP DET ADJ NOUN CCONJ AUX VERB ADP NUM NOUN ADP DET NOUN PUNCT|CD NNS VBP IN DT JJ NN CC VBP VBG IN CD NN IN DT NN .
1482| Girl poses on couch on suburban lawn .|NOUN VERB ADP NOUN ADP ADJ NOUN PUNCT|NN VBZ IN NN IN JJ NN .
1483| Someone wearing a dress is carrying a tray of food .|PRON VERB DET NOUN AUX VERB DET NOUN ADP NOUN PUNCT|NN VBG DT NN VBZ VBG DT NN IN NN .
1484| A baby with green headphones on is waving at a large crowd of people .|DET NOUN ADP ADJ NOUN ADP AUX VERB ADP DET ADJ NOUN ADP NOUN PUNCT|DT NN IN JJ NNS IN VBZ VBG IN DT JJ NN IN NNS .
1485| A young dark-haired woman with red sun visor holding an open white umbrella amidst a crowd of people|DET ADJ ADJ ADJ NOUN ADP PROPN PROPN NOUN VERB DET ADJ ADJ NOUN ADP DET NOUN ADP NOUN|DT JJ JJ JJ NN IN NNP NNP NN VBG DT JJ JJ NN IN DT NN IN NNS
1486| A lady is holding two boys ' hands with walking by some booths .|DET NOUN AUX VERB NUM NOUN PART NOUN ADP VERB ADP DET NOUN PUNCT|DT NN VBZ VBG CD NNS POS NNS IN VBG IN DT NNS .
1487| An aged woman is looking into the camera while the inside of her hut is shown .|DET ADJ NOUN AUX VERB ADP DET NOUN SCONJ DET NOUN ADP PRON NOUN AUX VERB PUNCT|DT JJ NN VBZ VBG IN DT NN IN DT NN IN PRP$ NN VBZ VBN .
1488| Two men are riding in a work boat .|NUM NOUN AUX VERB ADP DET NOUN NOUN PUNCT|CD NNS VBP VBG IN DT NN NN .
1489| A man in black wearing a helmet on a mountain bike travelling very fast .|DET NOUN ADP NOUN VERB DET NOUN ADP DET NOUN NOUN VERB ADV ADV PUNCT|DT NN IN NN VBG DT NN IN DT NN NN VBG RB RB .
1490| Two dogs fight over a bone .|NUM NOUN VERB ADP DET NOUN PUNCT|CD NNS VBP IN DT NN .
1491| A large yellow vehicle leads two others in a race .|DET ADJ ADJ NOUN VERB NUM NOUN ADP DET NOUN PUNCT|DT JJ JJ NN VBZ CD NNS IN DT NN .
1492| A female gymnast at a competition is grimacing mid-leap between the parallel bars .|DET ADJ NOUN ADP DET NOUN AUX VERB ADJ NOUN ADP DET ADJ NOUN PUNCT|DT JJ NN IN DT NN VBZ VBG JJ NN IN DT JJ NNS .
1493| A boy in a orange shirt is sitting on a rock near water .|DET NOUN ADP DET PROPN NOUN AUX VERB ADP DET NOUN ADP NOUN PUNCT|DT NN IN DT NNP NN VBZ VBG IN DT NN IN NN .
1494| A female playing a guitar with a pink purse .|DET ADJ VERB DET NOUN ADP DET ADJ NOUN PUNCT|DT JJ VBG DT NN IN DT JJ NN .
1495| A man is scalling a sheer rock face with a rope support .|DET NOUN AUX VERB DET ADJ NOUN NOUN ADP DET NOUN NOUN PUNCT|DT NN VBZ VBG DT JJ NN NN IN DT NN NN .
1496| A tan girl in a floral bikini is swimming in dark blue waters .|DET NOUN NOUN ADP DET ADJ NOUN AUX VERB ADP ADJ ADJ NOUN PUNCT|DT NN NN IN DT JJ NN VBZ VBG IN JJ JJ NNS .
1497| Two women and one man skipping or dancing down a road while onlookers watch .|NUM NOUN CCONJ NUM NOUN VERB CCONJ VERB ADP DET NOUN SCONJ NOUN VERB PUNCT|CD NNS CC CD NN VBG CC VBG RP DT NN IN NNS VBP .
1498| A little girl on a blue slide at a playground .|DET ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN PUNCT|DT JJ NN IN DT JJ NN IN DT NN .
1499| A man is in the middle of a skateboard trick in front of a gray building .|DET NOUN AUX ADP DET NOUN ADP DET ADJ NOUN ADP NOUN ADP DET ADJ NOUN PUNCT|DT NN VBZ IN DT NN IN DT JJ NN IN NN IN DT JJ NN .
1500| Two men inside a tent are examining the floor .|NUM NOUN ADP DET NOUN AUX VERB DET NOUN PUNCT|CD NNS IN DT NN VBP VBG DT NN .
1501| A man bowling with an orange ball , hoping to get the next strike .|DET NOUN VERB ADP DET PROPN NOUN PUNCT VERB PART VERB DET ADJ NOUN PUNCT|DT NN VBG IN DT NNP NN , VBG TO VB DT JJ NN .
1502| Three young boys in blue swimming trunks hold hands and jump into an inground pool .|NUM ADJ NOUN ADP ADJ PROPN NOUN VERB NOUN CCONJ VERB ADP DET NOUN NOUN PUNCT|CD JJ NNS IN JJ NNP NNS VBP NNS CC VB IN DT NN NN .
1503| A modern sport archer draws back an arrow , taking aim .|DET ADJ NOUN NOUN VERB ADP DET NOUN PUNCT VERB NOUN PUNCT|DT JJ NN NN VBZ RP DT NN , VBG NN .
1504| A man in a dark shirt and shorts is standing on top of a high graffitied rock .|DET NOUN ADP DET ADJ NOUN CCONJ NOUN AUX VERB ADP NOUN ADP DET ADJ VERB NOUN PUNCT|DT NN IN DT JJ NN CC NNS VBZ VBG IN NN IN DT JJ VBN NN .
1505| The man and woman are talking outside at night .|DET NOUN CCONJ NOUN AUX VERB ADV ADP NOUN PUNCT|DT NN CC NN VBP VBG RB IN NN .
1506| A young man with earmuffs holds an armed weapon .|DET ADJ NOUN ADP NOUN VERB DET ADJ NOUN PUNCT|DT JJ NN IN NNS VBZ DT JJ NN .
1507| A man on the street playing a saw .|DET NOUN ADP DET NOUN VERB DET NOUN PUNCT|DT NN IN DT NN VBG DT NN .
1508| A group of young people sitting and talking .|DET NOUN ADP ADJ NOUN VERB CCONJ VERB PUNCT|DT NN IN JJ NNS VBG CC VBG .
1509| A group of men are standing before caged animals .|DET NOUN ADP NOUN AUX VERB ADP VERB NOUN PUNCT|DT NN IN NNS VBP VBG IN VBN NNS .
1510| A young child in a pool wearing a life vest .|DET ADJ NOUN ADP DET NOUN VERB DET NOUN NOUN PUNCT|DT JJ NN IN DT NN VBG DT NN NN .
