|description|target
1167| A three-person band plays in a dark venue , with blue and red backlighting|0
1168| Men partake in the act of roasting a pig .|0
1169| A pretty young woman wearing a blue ruffled shirt smelling a pretty red flower .|0
1170| a man and woman hug .|0
1171| Two children run in the sand , along the shore .|0
1172| A man wearing a brown coat and latex gloves is looking at something in the distance .|0
1173| Four young men are constructing a bench while others work on different projects in a tropical area .|0
1174| young A girl standing in a grassy field .|1
1175| A Japanese couple in kimonos walk down the street on a rainy day .|0
1176| Lady in dark top , pring skirt , red socks and shoes walking .|0
1177| Two brown dogs are through running the snow .|1
1178| A little girl wearing green pants holding something while next standing to a mini hay bale .|1
1179| People with bags cameras and walking on road .|1
1180| Several firemen and a crane to next a building .|1
1181| Two women kimonos in standing together smile .|1
1182| A downhill skier races near trees .|0
1183| A woman is walking with a costume on .|0
1184| A family on standing a dock eating snacks !|1
1185| A man in blue swimming trunks and a man in black swimming trunks are at the beach .|0
1186| A very young female child smiling is at a camera outdoors .|1
1187| A boy and a girl sitting together in a car at gas a pump as it rains .|1
1188| A woman in a sweater long and jeans , is running away , down a path .|1
1189| Two men in uniforms and wheelchairs are reaching up for a white ball on a basketball court .|0
1190| Girls are talking and explaining about something|0
1191| Three road workers in orange jackets and clean pants up with a wheelbarrow .|1
1192| A man walks down an empty street noticing objects the in road before him .|1
1193| A man is playing a with model airplane in a field .|1
1194| A woman dressed in a Nike and shirt matching pants looks down at the ground .|1
1195| A man jumping over a red ramp on his in snowboard the dark .|1
1196| a closeup of a guitar playing singing during a concert|0
1197| Two men , one in blue and one in red , compete in a boxing match .|0
1198| older An couple crossing the street .|1
1199| people gathered around watching street performers playing various instruments|0
1200| Many people in the crowd look the at stage , some with balloons .|1
1201| Three kids looking a over sailboat .|1
1202| Three women singers are performing on stage with a sun in logo the background .|1
1203| group A of soldiers crouch over a fire pit with meat cooking on the grill .|1
1204| A girl blond in a blue camisole has something in her mouth and is holding a toothbrush .|1
1205| Two scuba divers are inspecting an underwater plane crash .|0
1206| The couple is looking at something .|0
1207| A man is at looking a woman with black hair in a kitchen .|1
1208| An awesome picture of a young woman in jumping the air .|1
1209| Man in and jacket striped shirt in front of a river .|1
1210| A Borders Bookstore employee is wearing a black shirt .|0
1211| Men standing on platforms attached to vertical logs with saws .|0
1212| One man is trailing behind a black bull while the other stands nearby watching .|0
1213| Two small white chasing dogs a red ball|1
1214| The young girl is playing basketball .|0
1215| Two old people on look at a guy selling something for 1.20 euro .|1
1216| Man on the beach is throwing a red ball .|0
1217| A man with long hair and a beard is surfing .|0
1218| A woman in an elaborately decorated sweatshirt observes an event .|0
1219| A woman with short hair is working in a flower garden .|0
1220| A with child a water house to his mouth .|1
1221| african children and african woman in circle a .|1
1222| A boy riding a green trick bike over some steps outdoors .|0
1223| A man wearing a red clothing and a fez plays a stringed instrument on a brick sidewalk .|0
1224| A man with a white towel wrapped around the lower part of his face and neck .|0
1225| A white male exiting the pool for the restroom .|0
1226| A dog is licking a little girl 's face .|0
1227| A retrieves dog a golf ball .|1
1228| A person a in parka is walking on a sidewalk .|1
1229| A little girl putting makeup on another 's girl eyelid while a boy in the background watches .|1
1230| Two women happily talk to a street vendor in a striped shirt .|0
1231| Male poor in area of the world using a bucket to pour water on himself .|1
1232| A woman on a Segway standing with some men in a crowd .|0
1233| Two women undressing and frolicking in the water .|0
1234| A girl falling down in the snow as another looks on .|0
1235| Two women eat at out a restaurant|1
1236| Grandmother laying in her bed asleep .|0
1237| A little girls takes a bite out of an apple in a field on a sunny day .|0
1238| Three Asian women having a conversation .|0
1239| A man standing is by trees .|1
1240| The men are talking to the person in the van police .|1
1241| a group of people standing on a small balcony of a large building|0
1242| A sculptor poses front in of his work .|1
1243| Woman trying to get pet off the hood of her car .|0
1244| A man on a skateboard is being pulled by a running dog on a leash .|0
1245| Two stand boys in front of vending machines .|1
1246| A white dog is jumping a for treat|1
1247| Person in blue shirt and red helmet riding bike down the road|0
1248| A child wearing big green gloves fist .|1
1249| The boy is enjoying outside a summer day .|1
1250| man in denim shirt tuning guitar|0
1251| Older conductor drives even older train .|0
1252| A white dog with a sweater on and a black and brown dog touching noses .|0
1253| A man in a jacket colorful walks down the street surrounded by women in winter clothing .|1
1254| Child in diapers and adult shoes runs pathway down .|1
1255| A person rows a boat over a large body of water .|0
1256| A young backpacker on sits a bridge overlooking a river .|1
1257| One little boy his dribbles basketball .|1
1258| A man on a bike that is doing a trick .|0
1259| A man trying to reach the tennis ball in a tennis game .|0
1260| A dog drops a red disc on a beach .|0
1261| A boy is trying to eat corn on the cob .|0
1262| A motocross bike is being ridden between markers in a running stream .|0
1263| Two males are playing soccer while fans watch .|0
1264| A person sitting is and catch his hairs in his hand .|1
1265| A young in girl a yellow dress walking at a baseball game .|1
1266| Boy in jacket riding skateboard down a handicap ramp|0
1267| Dog on the at beach sunset|1
1268| A man with shirtsleeves rolled up gestures while speaking .|0
1269| A tall , man athletic leaps upward towards the top of a brick wall .|1
1270| A bald man looking at a gray-haired man conducting .|0
1271| A man running on a treadmill while listening to music .|0
1272| There is a bridge over a beautiful scene of buildings and water .|0
1273| A person in black a coat jumps through the snow during a snowstorm .|1
1274| A young girl in a bikini jumping on beach the .|1
1275| a man wears a backpack .|0
1276| Two brown dogs stand in the surf and play with a small ball blue .|1
1277| A little baby with a cowboy hat playing on the guitar .|1
1278| A boy with a white shirt rolled is up showing his stomach and smiling .|1
1279| A restaurant or cafe contains an elderly couple conversing and a woman working on a MacBook .|0
1280| A bicyclist goes over a ramp dirt and catches some air .|1
1281| A man wearing a shirt red is playing the drums .|1
1282| Butcher waiting outside store the .|1
1283| A boy a in hat on a swing .|1
1284| Two men ride motorcycle a past an restaurant .|1
1285| riding Person a racing motorcycle while other people watch .|1
1286| A person lying down outside , head rested on Luis a Vuitton bag .|1
1287| A child in a red shirt is sitting on his father 's shoulders .|0
1288| An animal is performing at a rodeo with many people watching .|0
1289| A baby with blue eyes and a dirty face is pointing at his left eye .|0
1290| A group of people are practicing a form of martial arts .|0
1291| A man conducts an orchestra as all the other musicians follow his lead .|0
1292| A young is girl holding a chicken .|1
1293| A black dog on a white carpet next to an orange .|0
1294| A man climbing the side of a cliff and with another man at the base helping him .|0
1295| The surfer catches a big wave but stays on his board .|0
1296| older An man is sitting at a table with a group of children and writing something down .|1
1297| a stand with many different dry foods , such nuts as .|1
1298| A man in a orange shirt and black pants is jumping on a yellow and blue trampoline .|0
1299| People sitting at small tables eating and drinking outside in a city .|0
1300| A little girl in a fleecy jacket holds a stuffed animal and smiles .|0
1301| An elderly man working with several of lines string .|1
1302| 2 women on a couch , woman in white appears to be describing something in her hand .|0
1303| a young couple both white wearing shirts and blue jeans walking down a wooden pier .|1
1304| A person holds a bunch of balloons , many of which are of SpongeBob SquarePants .|0
1305| Cricket player on field , swinging bat .|0
1306| A man in a black polo shirt stands in the doorway of Gelateria a .|1
1307| An Indian man being treated by a nurse .|0
1308| A tribal African man with an assault rifle stands next to a African tribal woman .|1
1309| People playing bagpipes in a kitchen .|0
1310| A white older woman standing behind a grocery cart full of groceries .|0
1311| The man is asking for money .|0
1312| A small number of individuals are working in a field of plants .|0
1313| A group of people outside stand at night talking .|1
1314| A girl in sunglasses sits in the branches of a tree .|0
1315| A man sits outside a chinese restaurant a below mailbox .|1
1316| in a crowded asian city people can be seen walking to their various destinations .|0
1317| two women at a function talking|0
1318| Two dogs holding one stick on a beach .|0
1319| A girl with newspaper a in a cafe .|1
1320| The shirtless wielder putting his on mask .|1
1321| A man riding brown a horse is twirling a lasso above his head .|1
1322| woman A is shopping in the night street market .|1
1323| A little girl dips hair her into a bucket filled with water .|1
1324| Three young boys sitting outside are looking at something obscured them between .|1
1325| A young child covered with white powder .|0
1326| Several men on the deck of a ship lowering are another man into the water .|1
1327| The man carries ears of corn in his arms out while in the corn field .|1
1328| The are girls having a drink .|1
1329| A construction worker staying clear the of construction site .|1
1330| A wet brown dog is playing with a white ball .|0
1331| A woman in a shirt yellow is helping a little girl in a pink shirt .|1
1332| A behind mannequin a blue car .|1
1333|" On a crowded street , a woman is carrying a bag from the store """" ShoeGasm . """""|0
1334| People are waiting around at car show .|0
1335| A very picture busy of a pretty laid back casino .|1
1336| An adult couple enjoys time in a hot tub .|0
1337| A group of children stand against building a and smile .|1
1338| A man wearing helmet a is driving a go-cart .|1
1339| and Bride groom celebrating .|1
1340| An old man , wearing a pink shirt and a brightly decorated vest , plays the clarinet .|0
1341| Two toddlers are sitting in a colorful playpen .|0
1342| Man and sits watches five washing machines .|1
1343| Little kid sits at the side of a pool having a snack .|0
1344| an oriental man standing behind a crowd|0
1345| Man in a red shirt holding frying pan .|0
1346| A woman in sunglasses drinking bottled water .|0
1347| person A is looking up and juggling seven balls .|1
1348| Person snowboarding at a ski slope .|0
1349| A woman standing around amid other people who are all wearing green .|0
1350| A game soccer with multiple males playing soccer in the mud .|1
1351| Many people gather outside a busy freeway .|0
1352| a lone swinger on a swing ride at the fair .|0
1353| A marathon runner jogs past pedestrians and portable toilets .|0
1354| A man riding his bike with crowd in background .|0
1355| People all of ages are resting on blankets in the grass on a sunny day .|1
1356| A man is shoveling and dirt wearing a construction helmet .|1
1357| A group of middle-aged people ride a horse drawn carriage while dressed in historical costumes .|0
1358| An asian man throwing a dart a with group of other men .|1
1359| A band is playing the bagpipes while a man jogs by wearing all black|0
1360| A child using an electric mixer in a bowl .|0
1361| A couple napping in grass the in front of parked cars .|1
1362| two workers look over a street , wearing orange vests written on in Hebrew .|0
1363| A black dog chasing a red ball through the water .|0
1364| The dog is chasing the goat around the yard .|0
1365| A young woman an holds infant between an older couple .|1
1366| Two men in animal print pants on sleep a white bed .|1
1367| A man in a gray shirt takes two pies out of the oven .|0
1368| A man with a white shirt and brown pants looks at his cellphone .|0
1369| Sometimes it is fun to be with the family outdoors .|0
1370| A group of speed skaters making a turn with a blue advertisement behind them .|0
1371| Runners , running uphill with spectators on the sidelines .|0
1372| A group of people gathered is outside a building listening to a man on the stairs speak .|1
1373| A group of people with torches standing are outside at night .|1
1374| A little girl shows off a clock to a of pair older women .|1
1375| on Dog two legs leaning against a counter with filled bags .|1
1376| Asian women in traditional garb are walking in a parade .|0
1377| A man , wearing a striped shirt , operates a microscope in a laboratory .|0
1378| A woman in a red is coat leaving a photo shop .|1
1379| Two men on standing a damaged roof .|1
1380| A man taking is photographs of a large garden of white and orange tulips .|1
1381| A girl in a pink shirt is laughing Starbucks at .|1
1382| A boat red with , white and blue sails docking at a pier .|1
1383| Three people sitting in lawn chairs as , three people look on in the background .|1
1384| The white boat on the water have stopped .|0
1385| A girl in a black coat and red hat riding a red sled down a snowy hill .|0
1386| An older woman and a young child in a pink shirt playing with multicolored blocks .|0
1387| A female singer wearing red and black leather is performing on stage .|0
1388| A football player runs with the ball , chased by members of the opposing team|0
1389| A wearing person shorts looks down at a anvil on top of a wooden barrel .|1
1390| Water splashes up as man a waterskis through a lake .|1
1391| Many people are fencing on a court basketball .|1
1392| A of group people wearing life jackets riding a raft through rough waters .|1
1393| Two UFC fighters duke it out on the mat .|0
1394| A black woman is having her portrait by drawn a man in a gray jacket .|1
1395| A group of people with white outside hats cooking .|1
1396| A red car is caught in explosion an .|1
1397| A dog in grassy a field , looking up .|1
1398| A crowd of people watch a martial arts demonstration .|0
1399| a group of young and older people gather around a holding peace knits quilt .|1
1400| The black and white dog swims with a brown object in mouth its .|1
1401| A bride and groom walk up stone a staircase in front of a stone building .|1
1402| A woman speaking on her cellphone an by ornate black iron door .|1
1403| a man wearing black , speaks into a microphone , while a woman writes .|0
1404| A woman standing with a bicycle .|0
1405| A young in man office attire jumping rope at work with a smile .|1
1406| A man smokes cigarette a through a dusk mask while sitting in a chair .|1
1407| A man wearing a orange jacket is talking to a lady with blue pants on .|0
1408| race Two drivers in a small race car with bystanders in the background .|1
1409| A with man a jackhammer demolishing cement|1
1410| A closeup of a white dog that is laying its head its on paws .|1
1411| small A boy , fully dressed , playing in the sand .|1
1412| Scuba diver submerged in water .|0
1413| A man is sitting in front of his set drum performing .|1
1414| An Asian kisses couple during their wedding .|1
1415| a woman is rounding a corner in a roller derby .|0
1416| A young blond woman sits outside and sketches .|0
1417| elderly people sit on the street playing a game .|0
1418| Young dog standing with a and chain collar .|1
1419| Woman with rolled up jeans throwing a frisbee on the beach .|0
1420| A little boy with a shirt , shorts and on socks , standing on the beach .|1
1421| The children sip their drinks together the as young boy makes a phone call .|1
1422| A man holding a green bowling ball stands by the ball return machine in a bowling alley .|0
1423| Five girls swimsuits in , are seen from the back , jumping into the water .|1
1424| Two boys are playing soccer in the water at the beach .|0
1425| A man a with balloon hat and people eating outdoors at picnic tables .|1
1426| A man in a yellow , white blue and shirt practices the art of contact juggling .|1
1427| Two men are paddling their small canoes through water the .|1
1428| two sexy helping girls promote or advertise a new product with an onlooking audience .|1
1429| Women working are at looms .|1
1430| A young girl in a maid 's outfit and coat walking is across the street .|1
1431| A woman is wheeling a cart down a road as motorcycles go in by both directions .|1
1432| A kid is jumping off of a play set .|0
1433| guy A is looking at the water .|1
1434| A man in a black jacket is a has white headphone in his ear .|1
1435| The musicians perform their best stage on .|1
1436| a small white and black dog jumping over a big brown couch .|0
1437| A man with a large red feather in his hat is sitting on top of a horse .|0
1438| A man is sitting with his music stand in front of him .|0
1439| A policeman watches the group runners of .|1
1440| Three people crossing street a , one is carrying a shopping bag .|1
1441| A group friends of socializing at a barbecue .|1
1442| A blond woman wearing a blue shirt is walking down the while street holding her cellphone .|1
1443| Two women , one pink wearing and one wearing orange doing kitchen chores .|1
1444| Many people walking in a street and there are news vans parked at the curb .|0
1445| A man with a white dress shirt shuffles cards next to a lady in a brown shirt .|0
1446| a tan dog running|0
1447| female A with a pink shirt painting a star on the american flag .|1
1448| The brown dog is playing outdoors .|0
1449| A man standing in front of multiple of piles soil about shovel with others .|1
1450| A dog in water its with head cocked to the side looking at a ball .|1
1451| Five men are siting on a picnic table with a forest in the background .|0
1452| Onlookers watch a stock white car that has smoke coming out of the back .|1
1453| Two dogs walk along a path beside the grass .|0
1454| A enjoys man a glass of beer .|1
1455| Several are people riding sleds down a snowy hill .|1
1456| Three police officers on motorcycles on the street with pedestrians on walking the sidewalk in the background .|1
1457| people at work the in lounge .|1
1458| A line of motorcycles are parked on a divider in the middle of a city street .|0
1459| Ladies shopping with umbrellas the shielding sun .|1
1460| A man in a yellow shirt and khaki shorts is balancing on a metal chain .|0
1461| A making man a ping-pong table with kitchen table .|1
1462| A man hangs onto the monkey bars at a gym jungle .|1
1463| A white dog running in the fallen leaves .|0
1464| A waving woman at the camera and smiling .|1
1465| A man with a painted face , women wearing 's swimwear , and riding a bicycle .|1
1466| A man wearing a shirt blue and baseball cap is tied to a pole|1
1467| Four playing guys soccer on the pavement .|1
1468| a jokingly angry man holding alcohol|0
1469| A dog carries a stick in its mouth .|0
1470| One guy has shirt his off and he is holding a guitar while pointing his finger .|1
1471| A person is climbing a while rock holding onto a white rope .|1
1472| Two people rafting down a river , a footbridge in the background .|0
1473| A woman is taking a photograph with a canon camera|0
1474| The is man snowboarding down a snowy hill .|1
1475| man A in red and black performing stunts on a bike|1
1476| A girl rides a tube yellow face down .|1
1477| A construction worker trying to control traffic in one of the busiest construction sites .|0
1478| Craftsman hanging from a rope .|0
1479| Two workers stand at an entrance .|0
1480| A soldier is offering treats to a group of young boys .|0
1481| Lots of with people yellow swim caps going for a swim .|1
1482| A man jumping on a skiing board .|0
1483| A woman is standing the on grass with four dogs .|1
1484| A bride getting out her of car on her wedding day .|1
1485| Crowd of people standing in a station .|0
1486| A boy jumps on stone a footing next to a lake .|1
1487| A technician sound is adjusting a soundboard .|1
1488| A child holding a tennis racquet running on a tennis court .|0
1489| A black and a white dog are running on the grass .|0
1490| A soccer team in navy blue running onto the field beginning a game .|0
1491| A man walking with no on shirt and wearing sunglasses .|1
1492| A woman with a colorful skirt walking along path a .|1
1493| A man with short dark hair is welding .|0
1494| Two shirtless young boys are posing for a photo on top of a rock .|0
1495| A topless man smokes a cigarette in park a .|1
1496| A man sitting at a table that has slot machines having a and drink watching something .|1
1497| A man and woman attending people at a vendor stand .|0
1498| A man is tying his shoe lace .|0
1499| Two siblings hiding in tall , vivid green grass .|0
1500| A girl putting her hands into water dirty .|1
1501| A small boy is crying in a park while a small girl looks on .|0
1502| A woman carrying a white bag with a star red walking on the sidewalk .|1
1503| Someone in Asian costume is sitting down and holding a sword .|0
1504| A crowd covered in blood on gathered the street .|1
1505| Three in women a store looking at a bird that one of the women has .|1
1506| A woman scratches her cheek as she walking down a sidewalk alone .|0
1507| man A in a blue shirt and hat is walking along the beach .|1
1508| People dressed in all white are looking at some shaved lambs .|0
1509| A man stands outside of a doorway on his cellphone .|0
1510| People at theater , man in black reading program .|0
1511| Father and son swimming .|0
1512| Three motor-cross bike racers in a competition .|0
1513|" A good-looking firefighter sets up """" Do Cross Not """" tape in the city ."|1
1514| A woman with brown hair and large sunglasses is staring at something outside of the picture .|0
1515| Two shirtless Indian men in a park , next to a younger boy on a bike .|0
1516| A redheaded woman walks through a crowded park .|0
1517| lady A wearing scarf hat and sunglasses shopping .|1
1518| The man in a dark blue shirt is squeezing a bottle filled with a gold-colored substance .|0
1519| A man on stage as people watch him and wave arms .|0
1520| A fireman douses a red truck that is smoking a as police officer approaches .|1
1521| A girl in a blue uniform raises her arm .|0
1522| Enjoying a rope park on a sunny day .|0
1523| A woman in white clothing two and children wade through a stream .|1
1524| A brown-haired man in a patterned and shirt purple tie is singing into a microphone .|1
1525| A group of dogs walk outdoors around .|1
1526| An adult martial artist teaching a young some boy defensive moves on a mat in a gym .|1
1527| A dog in water carrying a stick long .|1
1528| a skateboarder jumps the stairs .|0
1529| Riders waiting to get on the train .|0
1530| People sitting on a next sidewalk to a rail that overlooks a body of water .|1
1531| A man jumps a into bed that is set up on a public walkway .|1
1532| The man is doing a trick on a in bike midair .|1
1533|" A band called """" The Early November """" giving a concert to a crowded room ."|0
1534| Two girls are dressed the same and one of is them playing with a toy lawn mower .|1
1535|" People standing together under a """" start """" in banner the street ."|1
1536| A group of walking people with a large inflated Oscar the Grouch .|1
1537| A young boy wearing a made hat out of balloons smiles along with his dad .|1
1538| Two children are playing hockey a on frozen pond|1
1539| A woman dances by herself as many people , in formal attire , watch .|0
1540| Young girl with painted face and pigtails is sitting on a bench at water 's edge .|0
1541| A woman is sitting in the train .|0
1542| A young man riding bicycle her home after long day work in his family city restaurant .|1
1543| Grandfather while fishes grandson waits with net .|1
1544| A man and woman are walking down a waterside toward path a suspension bridge .|1
1545| A woman rides a bicycle across the street while holding an umbrella .|0
1546| Little boy in orange shirt , holding flip-flops has his hand his on head .|1
1547| A little girl on the beach with a shovel in hand .|0
1548| A woman with a black shirt has her arm across another woman 's shoulder .|0
1549| A man is giving a presentation using a projector .|0
1550| Several children are working on arts and crafts|0
1551| People enjoying cookout food in a public park .|0
1552| A small child in a white t-shirt sits behind a large machine and holds on .|0
1553| A group of people ride down the road in a large tractor .|0
1554| Two fans are cheering a at sporting event .|1
1555| Two young women having a conversation|0
1556| A motorboat is gliding through dusty the waters of Venice .|1
1557| A young woman watches a hockey game in a restaurant booth .|0
1558| A food service person is giving a customer their double ice scoop cream in a cone .|1
1559| Two women dressed in blue are walking through a grassy hillside .|0
1560| group A of people sitting at tables near a beach .|1
1561| A little boy flinches as a deer kisses him on the cheek .|0
1562| Two men are playing instruments on a sidewalk .|0
1563| This man is the winner of the game .|0
1564| soccer Two teams posing .|1
1565| A biker lands on the ground after flying through the air .|0
1566| A in man midair on a skateboard .|1
1567| A person is picking up a yellow tent by his or herself in the great outdoors .|0
1568| adorable An little girl with pigtails and glasses is about to take a swing at a baseball .|1
1569| People in clusters of twos and threes stand around an outdoor fountain .|0
1570| Two feet wearing yellow boots ski on ski|1
1571| A boy young with a blue body board .|1
1572| People in wetsuits jump into the from water a concrete dock .|1
1573| A man and woman outside sitting a shop next to an empty road .|1
1574| A group people of are picking crops in a field outdoors .|1
1575| A man with a cigarette is to listening another man in dress clothes holding a can .|1
1576| Children and staff sit on the floor and paint in a recreation center .|0
1577| A dedicated worker working his on craft shirtless .|1
1578| Two young boys ride small bikes on the road of a neighborhood .|0
1579| One girl is eating a green apple outside while another looks the into distance .|1
1580| An older man in an apron cleaning .|0
1581| man A puts a little girl atop his shoulders while walking down a busy street .|1
1582| A man is playing guitar in the street for a small crowd .|0
1583| The in lady purple is pushing the child in a wagon .|1
1584| motorcycle track , and rider .|0
1585| Group of american camel riders on a dirt road smiling and fun having .|1
1586| A little boy to preparing hit a baseball|1
1587| A woman rides a bike on a trail through a field .|0
1588| i do n't see a picture i do n't see a picture i do n't see a picture|0
1589| A woman puts her arm on a person sitting in a wheelchair .|0
1590| A group of men sits around a table .|0
1591| Man in blue shirt plays foosball along a side woman in a white shirt .|1
1592| A man in a black shirt and shorts with flame decals is miming a boxing motion .|0
1593| A guitarist on stage playing and singing with his keyboardist in the background .|0
1594| A man concentrates his on music , holding his violin .|1
1595| guys Two are having a lunch of sandwiches and chips .|1
1596| a middle-aged man is standing next to a white wall underneath some catholic theme pictures .|0
1597| A few umbrellas on a rainy day in a area crowded .|1
1598| A woman in a bikini is pouring a drink for a man .|0
1599| A geisha applies makeup to her face .|0
1600| A dog sled races through the snow .|0
1601| Six men of varying sitting ethnicity at a table drinking beer , talking , and playing cards .|1
1602| Two young children getting orange ice cream .|0
1603| woman The wearing the brown skirt is carrying a black bag along a wooden walkway .|1
1604| Three people sitting in front of water next to an alligator sign warning .|1
1605| A man in a black jacket plays a black guitar electric and sings .|1
1606| A tan small dog jumping out of the water|1
1607| Large brown dog jumps for blue ball|0
1608| A child in a straw hat stands on stones at a beach .|0
1609| A team plays ball in the sand as a few spectators look on the from stands .|1
1610| A group of multi-ethnic young people sit in a circle on grass next to a hill .|0
1611| A Caucasian woman listens as an Asian man in camouflage explains something .|0
1612| Cameramen filming an athlete throwing a javelin .|0
1613| child The in the blue shirt is running through the sand .|1
1614| Four children looking out a window .|0
1615| A man is sitting reading a book .|0
1616| A man wearing jeans gets a new tattoo .|0
1617| The team swiftly moves their traditional down boat the river .|1
1618| A man is pointing into another man 's hand .|0
1619| A man in a bathing cap and swimsuit jumps into a pool while other men watch .|0
1620| A man sips his drink from a mug at an outdoor cafe .|0
1621| A man and woman walk by a window with a mannequin in the window .|0
1622| A little girl jumped with her arms stretched in out front of her .|1
1623| A young man writing down answers or perhaps taking notes in a classroom .|0
1624| A woman with a bucket standing beside a picket fence .|0
1625| A man holds his child at a restaurant as the reaches child across the table .|1
1626| A road near the waterfront where various people walk and ride their bikes nearby .|0
1627| Three people of various ages are relaxing near a log in a grassy area .|0
1628| An old is man sleeping in a chair outside an abandoned building .|1
1629| A small group of children all looking in the same direction .|0
1630| Yellow barriers are lined up and men are walking on both of sides them .|1
1631| A white bike is leaning against a post .|0
1632| A driving man a tractor pulls along two young children for a ride .|1
1633| Many are people sitting in a restaurant eating their meals .|1
1634| Two little boys and a baby girl sit a on striped seat outside .|1
1635| A bellhop is pushing a cart .|0
1636| Cops asking a tow truck man some questions .|0
1637| A small child pushes in another a wheelbarrow .|1
1638| A blond headed lady is walking in of front a group of three people .|1
1639| A black is dog running with a blue bone in his mouth .|1
1640| Many people wearing helmets .|0
1641| two people waiting on the corner .|0
1642| Some aggressive lacrosse female players are mid-game .|1
1643| A group of men enjoy a day of fishing .|0
1644| An Asian man prepares food on a counter next to a cat .|0
1645| Two people are climbing a rock big .|1
1646| Woman playing badminton in the pool while another woman looks on .|0
1647| Toddler sits on carpet in living room touching guitar .|0
1648| A boy sits facing backwards in a car making while a peace sign .|1
1649| Four people looking at large outside advertisements .|1
1650| A sweaty drummer feels the music as drums he away .|1
1651| This is some sort of band symphony or practicing .|1
1652| a man about to throw a tennis ball to a brown dog in the grass|0
1653| a Dancers standing on a sidewalk .|1
1654| A wearing child a blue helmet with stars explores a bicycle|1
1655| A man holding a beer is looking at an old man eating lays potato chips .|0
1656| This woman is singing on stage at a concert .|0
1657| Lady looking vegetables at in outside market .|1
1658| A man and his son carrying bags are enjoying a meal .|0
1659| A man has a chainsaw and is carving a block of ice .|0
1660| A group of wearing people green and yellow shirts look up .|1
1661| An in shape woman is pole vaulting successfully and is next to a track and field .|0
1662| A well dressed man with glasses working with an open piano .|0
1663| A little is girl climbing up some very tall rocks .|1
1664| A caucasian girl with pink goggles and hair brown is blowing bubbles underwater .|1
1665| Woman adjusting her boot near a large crowd of people an at outdoor event .|1
1666| A man dressed in black plays a long with instrument others in an orchestra .|1
1667| an elderly lady is laying on a grassy hill front in of the ocean|1
1668| A horse leaps a hurdle with a rider on its back .|0
1669| man A watches a girl jump into a pool .|1
1670| A crowd standing in a room their with backs to the camera .|1
1671| Group of casually dressed people walking , towards a large sea vessel .|1
1672| A construction worker takes a moment to wipe his face working while in the hot sun outdoors .|1
1673| A shirtless man in white pants is fire breathing in front of spectators in Indian style clothing .|1
1674| A man holds a large on fish a boat .|1
1675| A kid is in playing the middle of a shopping plaza .|1
1676| Girl doing yoga on a cliff .|0
1677| person A is flipping upside down while attached to some bungee cords .|1
1678| A white dog is jumping in the air attempting to catch a red ball .|0
1679| A man in a blue shirt holds up a protest sign .|0
1680| Uniformed police officer stands outside a New catholic York church .|1
1681| A woman in yellow is walking outside of a building .|0
1682| A woman in a blue in shirt a crowd .|1
1683| Two men sit at a diner , reading one a newspaper , the other smoking a cigarette .|1
1684| There are various vegetables put out on rugs in front of African women .|0
1685| A woman on a horse an jumps obstacle .|1
1686| There are two kids in swimmies playing outside next to trees some .|1
1687| People with a spotlight on them .|0
1688| A boy dressed in a red t-shirt and blue shorts is on standing a dirt road .|1
1689| A family is relaxing on their bright yellow boat .|0
1690| A girl running in a race .|0
1691| A white and brown dog is leaping through the air .|0
1692| A man with a white jacket is sitting at a restaurant holding a coffee creamer .|0
1693| woman A with a silver shoulderbag is looking in a grocery display case .|1
1694| Two men walking behind firetruck leaves carrying .|1
1695| Ballet dancers in a studio jumping practice with wonderful form .|1
1696| People are shopping for fruits and groceries in an outdoor grocery store and stand fruit .|1
1697| A man in a black shirt playing a guitar another while man watches .|1
1698| A white and brown dog rolls on back its in the sand .|1
1699| A little girl wearing a black is tankini jumping in the air with water in the background .|1
1700| Young , suburban girl blows a big bubble .|0
1701| Person in a brown sweatshirt , baggy blue jean a and backpack walking down the sidewalk .|1
1702| dog A leaps over the water from a rock .|1
1703| A group of people drumming while sitting in a circle at a gym .|0
1704| A guy in a plaid shirt is skateboarding up a ramp .|0
1705| A man is taking a photo in the photograph direction 's .|1
1706| The man with the guitar kicking up his right leg as play he his guitar .|1
1707| Tour guide telling people about a house .|0
1708| A Asian guy making is something out of metal .|1
1709| A snowboard rider jumping high on his in snowboard the snow .|1
1710| a man looks at city the .|1
1711| A Peloton of bicyclists riding down a road of tightly packed together houses .|0
1712| A little in girl pigtails is eating a strawberry .|1
1713| Two fighting men in a MMA match .|1
1714| white The and brown dog is running over the surface of the snow .|1
1715| An audience watching a soccer game .|0
1716|" A crow watches as five people with """" Yong In Univ. outfits """" perform ."|1
1717| Young blond child in gray shirt playing in a cardboard box .|0
1718| man A is cleaning a bridge .|1
1719| A woman wearing a brown dress with a green undershirt is walking carrying two buckets .|0
1720| A white dog with a red collar and black spots runs on newly cut grass .|0
1721| A group of people in dark colored clothing are line dancing on a wooden floor .|0
1722| volleyball Two players on a court .|1
1723| Man walking with skateboard red .|1
1724| Young boy running in front of wall a with graffiti .|1
1725| An african american man stands in front of a Harlem , fire NY station .|1
1726| Two guys performing on stage , one playing guitar other the singing .|1
1727| Many people in a street protesting use the of coal in power plants .|1
1728| Two older men are playing checkers in the park .|0
1729| Man with a hat on in walking front of an old building .|1
