|description|black_index
4631|A black dog with a red collar is jumping in the water .|1
4632|A man wearing a turquoise shirt and black pants is sweeping the sidewalk .|7
4633|A black dog nurses white puppies .|1
4634|A young boy with black shorts is surfing in the ocean .|4
4635|A black dog leaps out of the water .|1
4636|An elderly woman wearing an apron and black dress hangs clothes on the laundry line .|7
4637|A black horse and blue car crossing a river on water submerged pathways , instead of the bridge .|1
4638|A big , furry , black dog is on a blue leash and is coming out of the water .|5
4639|A group of people in red uniform jackets and black pants are standing in straight rows .|9
4640|A furry black and white dog jumps over a bar during an agility test .|2
4641|A woman in a black dress plays a ukulele and sings while a hat wearing man accompanies her with a pair of maracas and a drum in the background .|4
4642|A black dog and a brown dog close together .|1
4643|A man in a black leather jacket is sleeping in a subway car .|4
4644|A man in a white shirt and black camp among many machines .|7
4645|A black and white dog sliding down a slope on a beach .|1
4646|A man dressed in black stands at a street corner near a crossing light .|4
4647|A man in a black shirt and kahki pants holding his arms straight in the air .|4
4648|Two Asian men wearing black are sitting outside and talking .|4
4649|Two black and brown dogs are running through a field .|1
4650|A woman in black pants and sneakers , wearing a large shopping tote , is walking two , big , shaggy dogs|3
4651|Group of working man dressed in black and white laugh and talk on a cellphone .|6
4652|Two dachshunds , one black the other brown , run on grass .|4
4653|A black dog runs in a grassy yard while a woman dressed in green watches from in fton of a tan house .|1
4654|A black dog jumping through high snow .|1
4655|A man in a black suit knocks his head with his fist as he puts his arm around a woman in a white strapless dress .|4
4656|A hockey player in a black jersey is going after the puck while being surrounded by hockey players in white jerseys .|5
4657|A girl in a red and black dress is posing in front of a mural .|6
4658|Man in field with a black dog jumping at his raised arm .|5
4659|A view into a window of a seated person reading a newspaper and an old-timey black car .|15
4660|An older man in a black hat and red shirt is talking with a woman .|5
4661|A boy is carrying a black body board across the sand .|5
4662|A man in a black shirt stuffing a turkey to cook .|4
4663|A black dog and a white dog are wrestling on the ground .|1
4664|A man in a gray and black sweater is sitting on a stool in front of a group of cages .|6
4665|A child in a striped dress and a woman in a black dress .|11
4666|A woman wearing a purple dress and black boots walks through a crowd drinking from a glass bottle .|7
4667|Two men in black shirts each standing on one arm .|3
4668|A man in a black hat , with a cardboard box .|4
4669|A man in dark sunglasses and a black hat is sitting on a bus next to another person .|7
4670|A man , dressed in a black wetsuit , is jet skiing .|6
4671|A woman in a black outfit is standing in a hardwood floored room looking out a window .|4
4672|A guy in black shirt is drawing on a wall|3
4673|A black man wearing a bandanna and sunglasses raising his arms|1
4674|A tan woman with black hair sitting beside a blue bucket of flowers and a box while holding some pink flowers .|4
4675|Woman in black dress holds a piece of paper in her hands as she talks into a microphone .|2
4676|An Indian woman in a black shirt stands with her arms crossed looking at two other people talking to each other .|5
4677|"A person is all black is standing inside a truck with the words "" Del Re 's Grinding "" on it and pictures of scissors ."|4
4678|A man in a black jacket playing the guitar .|4
4679|A black dog runs through the snow .|1
4680|A wet black dog leaps across a stream .|2
4681|At the beach , a barefoot woman in a black skirt steals the red ball from a man in green shorts .|9
4682|A man in a black hoodie and blue jeans kneels in the middle of a road .|4
4683|Four older gentlemen sitting on patio chairs , one in stripes , one in black and one in blue all having the same stomach shape .|14
4684|A woman in black puts her arm around another woman while their photo is taken .|3
4685|Girl with a gray tank top and black pants standing by a carnival ride .|7
4686|This is a man and a woman dressed in identical black uniforms and both have helmets|10
4687|A black boy is sitting in the sand .|1
4688|"A man wearing a black shirt is standing on top of a rock that says , "" life is short "" ."|4
4689|A dark-haired man wearing a black and white t-shirt eats in a park surrounded by people .|5
4690|A guitar playing man dressed in all black .|7
4691|Man in striped shirt kicking a pink and black soccer ball .|8
4692|A girl in a black sock hat is talking to a man wearing a blue shirt .|4
4693|Child in black jacket , red pants and fleece had sleeps on a red jacket .|2
4694|A woman in black is posing with a mime who is standing on a pedestal and there is a large mansion or castle in the background .|3
4695|A man with a black cap and white jersey is on a skateboard ready to skate .|4
4696|Group of pale brown and black pugs playing on grass .|5
4697|Two black dogs are standing on the grass by a wooden fence .|1
4698|A girl wearing a red and black striped shirt is sitting on a brick wall near a flower garden .|6
4699|A black man walks away with a large basket full of items on his head .|1
4700|a black dog jumping through some water|1
4701|Four black dogs run across the grass .|1
4702|A man carrying a red bag is looking closely at the black train that is emitting smoke .|11
4703|A black and brown dog shakes water off of itself .|1
4704|A woman dressed in black , with her hair up , squats next to her luggage to send a text message .|4
4705|A girl in a red jersey is trying to get a girl in a black jersey out in a softball game .|14
4706|A man in black pants cutting bushes .|3
4707|One person in black leaning against a building in a sliver of sunshine .|3
4708|An overweight man in a blue and black hooded sweatshirt works on a laptop computer outdoors .|7
4709|A man with sideburns and a black t-shirt grimaces as he sings into a microphone .|6
4710|The black and tan dog is laying down with the smaller dog jumps over his back .|1
4711|A man in a black hat playing the guitar while a woman in a blue shirt plays te violin .|4
4712|A little girl wearing a black tankini is jumping in the air with water in the background .|5
4713|Two men wearing black shirts sing and play the guitar .|3
4714|A woman with a black shirt on with stars on it , talking .|4
4715|A woman in a black shirt and a picture of another woman attached to her .|4
4716|Middle-aged man in jeans and dark blue t-shirt carrying a black item and walking across a lawn .|10
4717|A man wearing a black T-shirt is chopping up raw meat .|4
4718|A man wearing a blue collared shirt and a black newsboy hat plays an accordion next to a stone wall .|9
4719|Two men in blue shirts and black pants talking .|6
4720|A brown dog is biting a black dog .|6
4721|A smiling man with gray hair and glasses , dressed in black , is sitting in a chair with a music stand in front of him .|11
4722|Two rugby teams , one in green and white uniforms , the other in black , are engaged in a scrum .|14
4723|A large , black dog is climbing over a wooden fence surrounded by bushes .|3
4724|A black dog playing with a purple toy in the snow .|1
4725|A woman wearing a blue shirt and black leggings , has spring boots going down a brick road .|7
4726|A woman in black pants steps out of what appears to be an unusually small doorway .|3
4727|A man with red sleeves rides a black bucking bull .|7
4728|A woman in a black shirt is chasing a young child around a playground .|4
4729|a small brown and black dog lying down in a furry rug .|4
4730|A person dressed in a red and black snowsuit skis downs a mountain .|7
4731|A black and white dog is running through the field .|1
4732|A man with a beard skateboarding and a boy with a blue and black backpack riding a green bike in the background .|13
4733|a man with a black cap and blue shirt holding a young girl in a white sweater .|4
4734|A black guy smoking a cigarette .|1
4735|A white dog with a black patch goes through an obstacle .|5
4736|A black man in a blue shirt holds a metal bar against a concrete block with his foot as he cuts it .|1
4737|A man in black shorts stands next to a bicycle , as a young girl in a lavender coat looks on .|3
4738|A black dog runs along the green grass carrying a toy in its mouth .|1
4739|A woman in a white shirt inspects a black garment while sitting in a chair at a festival .|8
4740|A black and white dog swims and plays with tennis balls in the pool .|1
4741|A man in a black shirt is standing behind a blue SUV .|4
4742|An ump in black watches a baseball game .|3
4743|Two men , one in red and one in black , compete in a marathon followed by a motorcyclists and a third competitor .|9
4744|There is a man that wearing black and white sitting on a pole with their face painted white holding balls .|6
4745|The black dog plays in the snow .|1
4746|A man in a black shirt and white helmet riding a bike over rocky ground .|4
4747|A guy in a white robe with a black cape is standing next to some rollerblades and leaning on a fence by a crowd of people .|8
4748|An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman .|5
4749|A wet black dog walks on the sand with a rock wall behind .|2
4750|Two women dressed in black are leaning backwards on tables of white .|4
4751|A black and white dog running through an obstacle course|1
4752|A woman running through a grassy area with a brown and black dog .|11
4753|A woman in a red tank top and black shorts competing in a race .|8
4754|A girl in a black shirt buying food from a street vendor .|4
4755|A black poodle is playing with the snow .|1
4756|An African American singer dressed all in black is singing into a microphone .|7
4757|A black and brown dog pokes his head above the white farm animals .|1
4758|A black dog runs along the beach .|1
4759|Man dressed in black standing in front of ocean .|3
4760|A lady wearing black sunglasses frowning as she stares at something .|3
4761|Two men in black suits stand on stage next to microphones .|3
4762|A man wearing a white construction hat , gray shirt and holding a yellow and black drill stands in front of an American flag saluting .|15
4763|This is a black dog splashing in the water .|3
4764|The person wearing orange and black ripped up tights lounges in the grass .|5
4765|A guy is running away from a black bull .|7
4766|Large white dog jumps in the air to catch a black and white soccer ball .|10
4767|A woman in a black dress sitting on steps .|4
4768|a fluffy brown , white and black running on a path|6
4769|A black dog is completely off the ground while in a race .|1
4770|Four people in black clothes are in a dirt field with puddles .|3
4771|The man is wearing an orange and black polo shirt and is kneeling with his lunch box in one hand while holding a banana in his other hand .|7
4772|A black poodle plays with another dog in a dry field .|1
4773|A woman wearing black and gold looking to her side .|3
4774|A young blond-haired woman wearing blue jeans and black sweater , applying facial makeup .|8
4775|A black and white image of a jogger running in the rain on a street after a car .|1
4776|A man in black shorts is stretching out his leg .|3
4777|A man in a black jacket in jeans takes a photograph of a man posing on the street in a silver suit .|4
4778|A singer in a black dress and a violinist with a beard is rehearsing on stage .|4
4779|A man on a black mountain bike rides through a course filled with other bikers .|4
4780|A boy wearing a black hat staring at the ground .|4
4781|A man in a black hoodie is holding a paper sign .|4
4782|A black man is standing near a busy street .|1
4783|A black dog jumping over a hurdle .|1
4784|A soccer player in black with large hair runs through a pitch .|4
4785|A girl in a black hoodie and jeans is in a kitchen pouring a drink .|4
4786|A black bird flies while carrying a small tree branch in its beak .|1
4787|A young man dressed in black is playing the guitar in a dimly lit studio .|5
4788|A young black man rides a donkey with a colorful saddle , and is surrounded by tropical palms .|2
4789|A man with stretched earlobes wearing a black hat stands in front of a display of food for sale .|7
4790|A girl in a black sweater is sitting on the curb reading white papers .|4
4791|Two men cutting into two cakes on a narrow table with a black tablecloth on it .|12
4792|A boy hits a tennis ball with a black and yellow racket .|8
4793|Boys and girls in black uniform holding bamboo sticks in a parade .|4
4794|A woman wearing black pants runs in a race as a woman in green cheers her on whilst playing maracas .|3
4795|Two dogs , a pitbull and a black Labrador , run side by side .|7
4796|A brown and a black dog are wearing collars and playing with each other .|4
4797|A lady in a black dress sitting on a brick wall .|4
4798|A person in a blue jacket with black sleeves , green pants and a blue hat is sitting on the sidewalk .|7
4799|1 woman in a black jacket is drinking out of a bottle while others are smiling .|4
4800|A girl in a black tank top smoking a cigarette while two friends look on .|4
4801|An older man wearing a black hat , tan jacket , and dark pants , sits in front of a lime green door .|5
4802|The black dog runs with a ball with two smaller dogs behind it .|1
4803|Two children , one in a red and one in black snow coats , playing in the snow .|10
4804|A black dog is running across the grass carrying something in its mouth .|1
4805|A white dog with black spots looks at a golf ball in the sand .|4
4806|A single man in a black t-shirt standing above the crowd at a busy bar .|5
4807|A man is playing with a black and white dog .|6
4808|A couple dressed in black are standing closely and looking at one another in front of a large statue of an urn in a public place .|4
4809|A black dog is coming out of the ocean water on the beach with something in its mouth .|1
4810|A boy swims shirtless with a black and red bathing suit while a seagull sits on the sand .|6
4811|There is a man walking with a bag in front of a black square paneled wall .|12
4812|A man wearing a black top is standing behind a counter in a store .|4
4813|A man wearing a black shirt , jeans , and skate shoes is jumping near a pond .|4
4814|a brown dog about to jump on a smaller black and tan dog|9
4815|A white male in black and red swim trunks is jumping into an indoor pool .|4
4816|a brown and black dog running through a grassy field|3
4817|A man and woman are having drinks at a counter whose wall decorated with vintage black and white photos .|15
4818|The man in black shorts and a green shirt with the number 25 on the back is about to kick the soccer ball .|3
4819|A black guy with dreadlocks is dancing along with other people .|1
4820|An elderly woman in a tan jacket and black pants is sitting on a stone ledge looking off into the distance .|8
4821|Women in a purple dress and big black hat running down the street .|7
4822|The man in the black shirt is talking on the phone while enjoying a nice day .|4
4823|A man standing in a cubicle with a chair that has a black Ginobili jersey on it .|12
4824|A lady in red and black grins at the camera at a costume party .|5
4825|A man in a white shirt plays the cello next to a woman in black playing a harp .|14
4826|A man wearing a black shirt is DJing at a turntable .|4
4827|A man wearing a black shirt and jeans throws an ax in the air .|4
4828|Man in all black outfit running across bridge .|3
4829|A black dog looks up at a ball in the air and prepares to catch it .|1
4830|A girl in a black outfit hula hoops while people sit at tables eating .|4
4831|A black dog runs through a muddy bank .|1
4832|A girl with a black bag in a cramped position on a train|4
4833|A woman in a purple coat and black cap sits on a short brick wall near a trashcan .|7
4834|A little boy in a black and red striped shirt walks down a grassy hill .|5
4835|A girl in a black shirt with blue jeans has a silver necklace .|4
4836|A woman in black pants and a white shirt looking through glass windows .|3
4837|A man in black and a man in blue with a tattooed arm balance atop a plank several stories high .|3
4838|A black dog in a pink sweater is up on his hind legs in front of a pink blanket .|1
4839|A white , black , and brown dog runs in a field .|3
4840|A black dog jumps into a swimming pool .|1
4841|A male youth in black clothing carries a backpack with a protest sign in it .|4
4842|A woman in a black shirt is knitting with purple yarn .|4
4843|A woman with red-hair and a black shirt has her eyes closed and a mirror behind her .|6
4844|A black dog running across barren terrain .|1
4845|A person in a green and white suit does tricks midair on a black bike .|13
4846|A brown dog and two black dogs in an overgrown grassy field .|5
4847|A man in black sitting with a woman in a silver shirt and makeup art on her face .|3
4848|A young boy in a orange and black striped long-sleeved shirt , coloring .|7
4849|Two women in black are performing .|3
4850|a girl in red and a man in black dancing|8
4851|A black dog running in grass .|1
4852|A little boy in a black shirt is leaning away from a water fountain .|5
4853|Young girl while black hair eating watermelon while sitting in the water .|3
4854|A man with glasses wearing all black sits on grass surrounded by other people .|6
4855|A person wearing red pants hides their head under a black jacket in front of a desk with many computers .|10
4856|A man in a black shirt swims next to a girl on a pink surfboard .|4
4857|The little boy in black shorts is on the shoreline .|4
4858|A man in a black hat talks to a woman outside .|4
4859|Young girl wearing two piece black bathing suit running in the water with a smile on her face .|5
4860|A man in black is playing a flute in a subway hall that has graffiti on the walls .|3
4861|Two men wearing black and white outfits are practicing a martial arts move .|3
4862|A girl is standing outside wearing a black bandanna .|7
4863|A white dog , a brown dog , and a black dog frolicking in a grassy field .|10
4864|People in black walking on a street .|2
4865|Two men with black hair talking on a couch .|3
4866|A brown and black dog is running along a grassy path wearing a red jacket .|3
4867|A black dog running through yellow cones .|1
4868|A man in a black sweater sits at a desk typing on a computer keyboard .|4
4869|A person in a black coat pulling a kid out of the road .|4
4870|The woman in the black dress with flowers takes a picture at the art museum .|4
4871|A little girl with black hair makes a craft using a cork and a tiny umbrella .|4
4872|A black dog is leaping from a cylindrical hay bale .|1
4873|A woman in a red dress and black boots is playing a red cello .|7
4874|A chinese man has white paint on his face with a black painted mustache and beard and glasses .|11
4875|A short-haired man in a white shirt and khaki pants walks forward past a black car , holding a white notebook .|14
4876|A man in a brown leather jacket and another man in black are playing slot machines in a casino .|11
4877|Four men posing on the street in green shirts and black pants .|10
4878|Men in black hats are standing in a crowd of people .|2
4879|A small black dog running across the sand .|2
4880|A man with a green overcoat and a black hat is sitting on a bench and reading a book with a magnifying glass .|8
4881|A young black boy is playing tennis .|2
4882|A person wearing a black , white , and yellow uniform is doing a jump on a dirt bike .|4
4883|A man in a black jacket , burgundy shirt and blue jeans , walking past a newspaper vendor stand in a crowded subway station .|4
4884|A man and woman dressed in black posing for a picture .|6
4885|A black dog jumps in the snow .|1
4886|A girl making a snow angel , wearing a black hat and glasses .|9
4887|A young girl wearing a black t-shirt with necklaces and bracelets walks near an outdoor cafe .|5
4888|one boy wearing a black jersey holding a basketball while another is behind him trying to get the ball|4
4889|A woman in a green shirt and a man in a black jacket join others in walking down a sidewalk .|11
4890|A yellow and black dog looking in the same direction standing in some brush .|3
4891|A lady in a black tank top talks on her cellphone .|4
4892|A lady wearing a black jacket is loading bags up with flowers on a bike .|4
4893|A man in a black shirt uses a yellow bulldozer .|4
4894|A woman with a black jacket and headphones standing next to a building that is under construction .|4
4895|At a outdoor stage , a woman in a black shirt has her arm around a man in a brown hat .|9
4896|Bystanders watch the aftermath of an accident between a red and black car .|11
4897|There is a group of black adolescent boys in a large sand area and one of them is holding a silver soccer ball .|5
4898|A closeup of a black dog sitting on a doll and a toy next to a fireplace .|4
4899|A biker , dressed in black , is walking down a pathway to his bike .|5
4900|A woman dressed in black and a man dressed in white are pushing a garbage can .|4
4901|People helping a person in black shorts and red top who is hurt .|5
4902|Man in brown jacket with his arm around person in black jacket at flower shop|10
4903|A man in a black vest tries to open the window of a white and yellow van .|4
4904|A woman wearing a black beret is bending over near a group of lit lamps .|4
4905|A cyclist rides his black bicycle while wearing a yellow jacket and white helmet .|4
4906|Two men in black shirts playing electric instruments in a room .|3
4907|Couple kissing in front of a black car and a restaurant in the background .|6
4908|A blond woman in a tied up tee and black pants sitting and pulling on an earlobe .|9
4909|A female DJ dressed in all black is looking intently at her Apple MacBook .|6
4910|A young woman , wearing a black coat and sitting with a book in her lap , is reading a map , in a laundry mat .|6
4911|A man in a gray shirt and black pants is playing tennis .|7
4912|A young man wearing a black shirt takes a folding chair from a large stack .|5
4913|A black dog plays with a toy on the grass .|1
4914|Brown and black dog with yellow object in mouth in the snow .|2
4915|Three men in red and white striped shirts , white pants , and black hats hold flags .|13
4916|A man dressed in black shovels snow .|4
4917|Young girl stirs a pot with a spoon in the kitchen while wearing a large black blanket .|15
4918|A man in a black shirt and glasses is skateboarding .|4
4919|A man dressed in all black holding a pole .|5
4920|A man in a black coat and blue shirt is talking on his phone indoors .|4
4921|A lady in a black coat and a gray scarf is carrying shopping bags .|4
4922|A man dressed in a white robe and black jacket with a scarf on his head stands in the doorway holding some sort of animal head in his hands .|8
4923|An orange dog and a little white dog with black spots are next to a white car .|9
4924|A woman in knee-high black boots shows a guy how to dance while a man plays a lute-guitar on a small stage .|4
4925|A child in a black coat runs across a graffiti covered bridge .|4
4926|A large black dog chews on a stick .|2
4927|A black pitbull dog is running through the dirt .|1
4928|Two baseball players with black caps and red uniforms are playing baseball .|4
4929|A surfer in a black wetsuit holding his balance on the crest of a wave as it begins to break around him .|4
4930|A man with a white t-shirt and a white shirt with black stripes has two guns pointed at his face .|11
4931|A brown-haired girl in a black top with a flower design is pulling back the band on a slingshot .|5
4932|A woman in a yellow tank top stands near a black mailbox .|10
4933|a man in brown jacket and blue cap is washing a black jacket in fountain .|11
4934|A black dog and a woman in a red shirt playing tug-of-war .|1
4935|A man in a red and black suit is riding on a white motorcycle .|6
4936|A person in an orange and black shirt is taking a photograph while sitting at a cubicle desk .|6
4937|Woman in black dress speaking to attendees sitting randomly in a room .|2
4938|A black dog running with a stuffed bird in its mouth and another dog chasing it .|1
4939|A woman with a black purse waiting at a an orange bus stop .|4
4940|A woman in black holds a baby in an orange blanket .|3
4941|A man in a tuxedo shirt and black sport coat tries on a rubber monster mask .|7
4942|A man in a black hat sitting with a woman with glasses .|4
4943|A middle-aged man shines black leather shoes .|4
4944|A group of men wearing white , blue , and black are marching outside with a giant cross .|10
4945|A woman in a black shirt juggling lemons .|4
4946|A hiker dressed in a blue with black jacket and tan pants surrounded by big trees covered in snow .|7
4947|A man in a red-and-white jacket and black pants rides a bicycle down the street in a commercial district .|7
4948|A woman wearing a long black sweater is standing near a pink bike on the sidewalk .|5
4949|Two tall black dogs run through tall grass .|2
4950|A woman wearing blue is talking on the phone in front of a black and brown dog .|13
4951|A woman holding black and white bag rides the subway .|3
4952|A girl in black hat holding an african american baby .|3
4953|A white dog snarls at a black dog in front of a set of steps .|6
4954|A man in a blue shirt and black shorts has an orange sun visor on his head .|7
4955|A man with black hair is wearing a red and yellow shirt and has a yellow clown nose and face makeup on .|3
4956|A man running in black and white tracksuit .|4
4957|Group of women standing in front of a shop wearing a blond wig and black jacket .|14
4958|A chef wearing black cooking .|3
4959|A man with a beard who wears a black knit hat and a gray vest stands by a building .|8
4960|A black and white dog carries a huge stick on the green grass .|1
4961|Two men playing with their black and white dogs on the beach .|5
4962|A man in a black shirt is wearing a lime green wristband .|4
4963|An older bearded man in some sort of fancy black and white attire surrounded by a group of onlookers .|9
4964|A woman dressed in black walks past a window that is covered in newspaper .|4
4965|A man in a black shirt eating his meal on a round table .|4
4966|A man wearing a black water-proof garment is making his way through crops that have recently been watered , pulling a box .|4
4967|Five men , uniformly dressed in white shirts , tie and black slacks converse at the back of an open van .|11
4968|A woman wearing a floral red skirt and black tank top looks towards the sun near midday .|8
4969|A black dog walks through the water .|1
4970|A man without a shirt is sitting in a black chair on a crowded sidewalk .|9
4971|A black dog is looking at the ball on the beach by the ocean .|1
4972|A girl in black t-shirt and blue jeans walking on the pathway .|3
4973|A man in a gray t-shirt and a woman in shorts and a black t-shirt stand in front of a monument .|13
4974|A black dog running across green grass .|1
4975|Two men with dark hair wearing glasses and black shirts eat bread while holding their hands up to the camera .|8
4976|A black man purchasing goods at a market .|1
4977|Man shadow boxing in black and yellow outfit .|4
4978|Two black dogs are chasing each other through shallow grass toward water .|1
4979|A black dog with a blue collar is running in the snow .|1
4980|blond man in a black suit with yellow shoes in jumping over a hurdle .|4
4981|A man in a gray suit sits on stage bowing a nail violin while two black microphones record the sound .|15
4982|The black dog is running on the grass .|1
4983|A man in black laying on a bench with his head on the leg of an elderly gentleman wearing blue jeans .|3
4984|Three black dogs .|1
4985|A man wearing a black shirt is sitting by himself at a deli or restaurant .|4
4986|A man with long brown hair and a black leather jacket is reading a map .|8
4987|There is a woman in a black jacket and sunglasses and a man in a white shirt with his back turned .|6
4988|The woman wearing the brown skirt is carrying a black bag along a wooden walkway .|9
4989|An older man in a black jacket and a younger woman in a green jacket are laughing on the beach .|5
4990|A black and white dog , on a green field , barking at the camera .|1
4991|a black dog runs through the water .|1
4992|Two basketball players in black and white outfits are standing on a basketball court , talking .|4
4993|A man in black is singing into a microphone .|3
4994|A person wearing a red and black uniform jumps on a motorbike .|6
4995|Dancers in white tops and black pants perform on stage .|5
4996|Two guys in black jackets using and listening to a record player .|3
4997|a man in a black shirt has his back towards a woman .|4
4998|A man covering a mailbox with a black trash bag .|7
4999|Two women with black dresses and red tops are standing next to a fence smiling .|3
5000|Two small children , one wearing a red winter jacket and the other a black one , are slipping and sliding down an icy slope .|14
5001|A woman in a black skirt and dark red sweater with holes in the sleeves sitting on a trunk to put on red flame tights .|4
5002|a small black and white jumping to catch something in its mouth .|2
5003|A small black dog runs through the white snow .|2
5004|a man with black hair pushes a large machine in a swampy watery area .|3
5005|A woman with closed eyes wearing a white dress and black sandals puts rests her face in her hand .|10
5006|Four children , two of whom are dressed all in black standing in the yard of a house with a basket full of what looks like eggs .|10
5007|A man contemplates his papers on the corner with a black suitcase by his side .|10
5008|A black boy stands on a traffic signal .|1
5009|A black man in white clothes walks a blue drink cart down a cobbled street .|1
5010|A woman walks down the road in all black as she holds a red umbrella over her head in the rain .|8
5011|Three women dressed in black skirts and bra-tops appear to be starting or finishing a dance routine .|4
5012|A black and white dog running away across the grass .|1
5013|The hiker is walking up a snow covered hill with a black dog .|11
5014|A man in a black shirt dancing with a woman who is smiling .|4
5015|A girl with black hair wearing a blue jacket smiles as she rides a red sled in the snow .|3
5016|A child in a black t-shirt and board shorts jumping on a trampoline .|4
5017|A man in a black tank top is sitting and working on a fairly large piece of street art .|4
5018|A young man carries something in a black trash bag .|7
5019|A man with a mustache and a black shirt is playing the saxophone .|7
5020|a dog catches black Frisbee .|3
5021|A black and white dog is running down some white steps .|1
5022|A black woman wearing a blue hat and white t-shirt is standing at a snow cone stand .|1
5023|A man in black is purchasing something at the register in a store .|3
5024|A couple embracing outside a downtown train station , the female 's black designer handbag is draped across her lover 's shoulder .|12
5025|A blond woman dressed in black and red is running .|5
5026|A man dressed in black and a tie with a top hat stands in a crowded area as people pass by .|4
5027|A man in a black shirt is sticking out his tongue .|4
5028|A brown and black down with a blue collar near a soccer ball on a grassy field .|3
5029|A woman dressed in black is silhouetted against a cloud darkened sky .|4
5030|a black guy sitting by some vegetables .|1
5031|Three dogs who are brown , white , and black ( respectively ) play with one another in a dirt field .|9
5032|A man in a yellow and black jacket is sitting on a yellow bicycle .|6
5033|A blond girl in a black cape stands with other children in costumes .|5
5034|The brown and black dog is over top of the white dog .|3
5035|A person wearing black clothing walks up a narrow flight of stairs between two bright red buildings .|3
5036|A man in a black coat and hat and a child with a red snowsuit and Pooh backpacker read advertisements near a McDonalds .|4
5037|A woman wearing a white shirt , blue shorts and black shoes is holding a tennis racket .|10
5038|A black and brown dog carries a red toy in his mouth .|1
5039|A woman in a blue hiking shirt looking at a black ram .|10
5040|A woman in a black and tan jacket , tan hat and red pants has just putted a golf ball .|4
5041|Two people in black vests are standing in front of children in white vests with an American flag between them .|3
5042|Girl in black dress posing in front of soccer goal with soccer ball .|2
5043|A person in an orange coat prepares to throw a stick to a black dog .|13
5044|man in black jersey with ball with man in white jersey|2
5045|A man dressed in black with a white dog .|4
5046|A man wearing all black sits on a wooden bench and reads , his umbrella is open nearby on the ground .|4
5047|A black dog is playing with a green toy in yellow grass .|1
5048|Four men in black suits play instruments in front of bushes .|3
5049|A man in a black hoodie holding a small sign .|4
5050|Two men wearing an olympic gold medals , yellow jackets , and black pants one jumping and one standing with cameras in the foreground .|12
5051|Many black dogs run in a grassy area .|1
5052|A woman holding a black and white hand bag is looking at the bus schedule .|4
5053|The young man with the black hat is smoking a cigarette .|5
5054|A man is standing behind a black gate .|6
5055|A man in a black t-shirt works on a metal roof under a tree .|4
5056|A woman is shaving the hair off of a black and white dog .|9
5057|A woman in a black jacket is talking to a man who 's wearing white sneakers next to a yellow building .|4
5058|The black and brown dog is running on the grass .|1
5059|A black , white , and brown dog is playing with a green and pink ball on sand .|1
5060|A girl wearing a black t-shirt is holding a small pizza in a kitchen setting .|4
5061|A young boy in a black wetsuit surfs in the water .|5
5062|A woman in blue running next to a black and white dog as it jumps over an obstacle .|8
5063|A man with a black hat and blue shirt on a beach .|4
5064|A man in a winter hat plays with a small black dog in the snow .|10
5065|A woman with ponytail is wearing a gray jacket and pushing a black stroller .|12
5066|A woman with a flannel jacket and black purse standing on the sidewalk .|7
5067|A black dog pounces to get a rope toy .|1
5068|A woman in a blue shirt is running behind a black dog .|10
5069|A little girl wearing a black swimming suit holding a shovel at a beach .|5
5070|A surfer in a black wetsuit rides the waves with the shore in the distance .|4
5071|A man in a blue sweater and black pants exits a news and grocery store .|7
5072|The boy in black is skateboarding in the air in front of the flowers and a white and blue sign .|3
5073|One woman in a black shirt swinging very high on a swing .|4
5074|Person 's foot resting on fluffy black dog .|6
5075|There are three men in black and two of them are walking while holding trays of food .|5
5076|A man wearing a black cowboy styled hat drawing his finger through sand .|4
5077|A man with black hair is using an orange chainsaw to cut wood .|3
5078|A black and brown dog is running between two cement barriers with snow .|1
5079|Two black men , one in red and another in gray , are preparing to play a game of pool .|1
5080|An asian man in a camouflage jacket and another in a black jacket are filleting a fish on top of a bowl in a stainless steel tub .|11
5081|The black and white dog sprints through the red parachute tunnel on the grassy field .|1
5082|A black and brown dog is wearing a blue color and is standing over water .|1
5083|large man in black shirt next to police officer walking away from man in blue shirt and backpack|3
5084|A woman in a red shirt hugs a young girl in a black , one-piece swimsuit while in a man in a red shirt stands to the side .|12
5085|There are 5 men dressed in all black with top hats all playing brass instruments .|7
5086|A little girl with black pigtails riding a pink bicycle with training wheels .|4
5087|A man in a black cap and red gown stands in between two other men in caps and gowns .|4
5088|a black dog about to jump into a lack to get a small ball .|1
5089|A black woman is walking to work .|1
5090|Puppeteer wearing a purple sleeveless shirt showing off a puppet that looks like a black man with shades playing a saxophone .|14
5091|A black dog in water .|1
5092|"Young black women sit and lean on a wall marked with graffiti that contains the text "" sons of freedom "" ."|1
5093|A man in a black shirt plays the guitar surrounded by drinks .|4
5094|A black man stands on a moving boat in the harbor .|1
5095|A mostly black short-haired dog is running in a swampy area with its tongue out .|2
5096|Two asian girls dressed in black pose for a picture in front of dry trees .|5
5097|A man in a black jacket stands next to the water .|4
5098|A female gymnast in a green and black leotard performs in a sitting position , one leg stretched in the air , while other gymnasts look on .|7
5099|A man in a black shirt sits beneath a 'no child left behind ' powerpoint presentation .|4
5100|A woman in a black dress walks down the street .|4
5101|An officer in a black uniform and hat stands to the left of a large structure with other officers in the background .|4
5102|A woman in a black shirt looks to her right , while a man in a blue vest on her left drinks from a glass .|4
5103|A man in blue with a black hat with a dog leaping at him in a park-like setting .|6
5104|A man wearing a black jacket and white shirt is talking to a woman at a bar .|4
